2017/03/10;37 %; 
2017/03/11;92 %; 
2017/03/12;0 %; 
2017/03/13;77 %; 
2017/03/14;70 %; 
2017/03/15;4 %; 
2017/03/16;99 %; 
2017/03/17;31 %; 
2017/03/18;23 %; 
2017/03/19;98 %; 
2017/03/20;3 %; 
2017/03/21;61 %; 
2017/03/22;83 %; 
2017/03/23;0 %; 
2017/03/24;94 %; 
2017/03/25;48 %; 
2017/03/26;12 %; 
2017/03/27;100 %; 
2017/03/28;11 %; 
2017/03/29;43 %; 
2017/03/30;92 %; 
2017/03/31;1 %; 
2017/04/01;1 %; 
2017/04/02;68 %; 
2017/04/03;65 %; 
2017/04/04;9 %; 
2017/04/05;96 %; 
2017/04/06;40 %; 
2017/04/07;28 %; 
2017/04/08;96 %; 
2017/04/09;8 %; 
2017/04/10;53 %; 
2017/04/11;78 %; 
2017/04/12;2 %; 
2017/04/13;86 %; 
2017/04/14;54 %; 
2017/04/15;16 %; 
2017/04/16;100 %; 
2017/04/17;21 %; 
2017/04/18;39 %; 
2017/04/19;90 %; 
2017/04/20;0 %; 
2017/04/21;72 %; 
2017/04/22;67 %; 
2017/04/23;6 %; 
2017/04/24;98 %; 
2017/04/25;36 %; 
2017/04/26;27 %; 
2017/04/27;98 %; 
2017/04/28;5 %; 
2017/04/29;55 %; 
2017/04/30;79 %; 
2017/05/01;1 %; 
2017/05/02;73 %; 
2017/05/03;59 %; 
2017/05/04;10 %; 
2017/05/05;97 %; 
2017/05/06;33 %; 
2017/05/07;34 %; 
2017/05/08;95 %; 
2017/05/09;7 %; 
2017/05/10;60 %; 
2017/05/11;74 %; 
2017/05/12;2 %; 
2017/05/13;88 %; 
2017/05/14;47 %; 
2017/05/15;19 %; 
2017/05/16;100 %; 
2017/05/17;18 %; 
2017/05/18;47 %; 
2017/05/19;87 %; 
2017/05/20;0 %; 
2017/05/21;75 %; 
2017/05/22;60 %; 
2017/05/23;8 %; 
2017/05/24;99 %; 
2017/05/25;33 %; 
2017/05/26;34 %; 
2017/05/27;96 %; 
2017/05/28;4 %; 
2017/05/29;60 %; 
2017/05/30;73 %; 
2017/05/31;1 %; 
2017/06/01;0 %; 
2017/06/02;88 %; 
2017/06/03;44 %; 
2017/06/04;17 %; 
2017/06/05;100 %; 
2017/06/06;17 %; 
2017/06/07;48 %; 
2017/06/08;89 %; 
2017/06/09;1 %; 
2017/06/10;78 %; 
2017/06/11;61 %; 
2017/06/12;6 %; 
2017/06/13;96 %; 
2017/06/14;29 %; 
2017/06/15;31 %; 
2017/06/16;97 %; 
2017/06/17;8 %; 
2017/06/18;65 %; 
2017/06/19;77 %; 
2017/06/20;1 %; 
2017/06/21;88 %; 
2017/06/22;42 %; 
2017/06/23;16 %; 
2017/06/24;100 %; 
2017/06/25;18 %; 
2017/06/26;51 %; 
2017/06/27;90 %; 
2017/06/28;1 %; 
2017/06/29;76 %; 
2017/06/30;57 %; 
2017/07/01;1 %; 
2017/07/02;92 %; 
2017/07/03;42 %; 
2017/07/04;18 %; 
2017/07/05;100 %; 
2017/07/06;12 %; 
2017/07/07;50 %; 
2017/07/08;87 %; 
2017/07/09;0 %; 
2017/07/10;83 %; 
2017/07/11;59 %; 
2017/07/12;8 %; 
2017/07/13;98 %; 
2017/07/14;23 %; 
2017/07/15;32 %; 
2017/07/16;96 %; 
2017/07/17;5 %; 
2017/07/18;71 %; 
2017/07/19;76 %; 
2017/07/20;2 %; 
2017/07/21;92 %; 
2017/07/22;37 %; 
2017/07/23;17 %; 
2017/07/24;100 %; 
2017/07/25;13 %; 
2017/07/26;56 %; 
2017/07/27;89 %; 
2017/07/28;0 %; 
2017/07/29;82 %; 
2017/07/30;53 %; 
2017/07/31;6 %; 
2017/08/01;9 %; 
2017/08/02;99 %; 
2017/08/03;31 %; 
2017/08/04;30 %; 
